#year month_cnt val
1967 6 -.521
1967 7 -.395
1967 8 -.621
1967 9 -.683
1967 10 -.426
1967 11 -.378
1968 0 -.619
1968 1 -.74
1968 2 -.629
1968 3 -.965
1968 4 -1.095
1968 5 -.771
1968 6 -.527
1968 7 -.102
1968 8 .22
1968 9 .435
1968 10 .586
1968 11 .347
1969 0 .664
1969 1 .844
1969 2 .452
1969 3 .623
1969 4 .696
1969 5 .82
1969 6 .467
1969 7 .218
1969 8 .177
1969 9 .511
1969 10 .666
1969 11 .398
1970 0 .372
1970 1 .411
1970 2 .215
1970 3 -.023
1970 4 -.126
1970 5 -.659
1970 6 -1.089
1970 7 -1.016
1970 8 -1.252
1970 9 -1.088
1970 10 -1.084
1970 11 -1.223
1971 0 -1.223
1971 1 -1.521
1971 2 -1.807
1971 3 -1.888
1971 4 -1.464
1971 5 -1.448
1971 6 -1.23
1971 7 -1.225
1971 8 -1.46
1971 9 -1.421
1971 10 -1.329
1971 11 -.993
1972 0 -.596
1972 1 -.422
1972 2 -.262
1972 3 -.196
1972 4 .464
1972 5 1.069
1972 6 1.827
1972 7 1.821
1972 8 1.558
1972 9 1.643
1972 10 1.726
1972 11 1.766
1973 0 1.726
1973 1 1.497
1973 2 .845
1973 3 .481
1973 4 -.106
1973 5 -.769
1973 6 -1.081
1973 7 -1.347
1973 8 -1.727
1973 9 -1.667
1973 10 -1.503
1973 11 -1.848
1974 0 -1.939
1974 1 -1.793
1974 2 -1.76
1974 3 -1.673
1974 4 -1.077
1974 5 -.67
1974 6 -.769
1974 7 -.671
1974 8 -.627
1974 9 -1.052
1974 10 -1.251
1974 11 -.905
1975 0 -.538
1975 1 -.597
1975 2 -.884
1975 3 -.963
1975 4 -.863
1975 5 -1.15
1975 6 -1.519
1975 7 -1.73
1975 8 -1.874
1975 9 -1.987
1975 10 -1.773
1975 11 -1.757
1976 0 -1.61
1976 1 -1.394
1976 2 -1.246
1976 3 -1.184
1976 4 -.496
1976 5 .307
1976 6 .615
1976 7 .664
1976 8 1.038
1976 9 .946
1976 10 .493
1976 11 .55
1977 0 .521
1977 1 .271
1977 2 .131
1977 3 .539
1977 4 .326
1977 5 .451
1977 6 .866
1977 7 .695
1977 8 .8
1977 9 .986
1977 10 .975
1977 11 .86
1978 0 .773
1978 1 .893
1978 2 .936
1978 3 .191
1978 4 -.388
1978 5 -.579
1978 6 -.433
1978 7 -.2
1978 8 -.389
1978 9 -.02
1978 10 .186
1978 11 .388
1979 0 .6
1979 1 .361
1979 2 -.015
1979 3 .283
1979 4 .38
1979 5 .423
1979 6 .369
1979 7 .625
1979 8 .786
1979 9 .678
1979 10 .746
1979 11 .989
1980 0 .672
1980 1 .589
1980 2 .69
1980 3 .907
1980 4 .961
1980 5 .907
1980 6 .749
1980 7 .336
1980 8 .281
1980 9 .201
1980 10 .251
1980 11 .089
1981 0 -.262
1981 1 -.163
1981 2 .457
1981 3 .669
1981 4 .161
1981 5 -.019
1981 6 -.048
1981 7 -.088
1981 8 .187
1981 9 .112
1981 10 -.038
1981 11 -.141
1982 0 -.27
1982 1 -.138
1982 2 .106
1982 3 -.009
1982 4 .429
1982 5 .944
1982 6 1.604
1982 7 1.799
1982 8 1.811
1982 9 2.024
1982 10 2.428
1982 11 2.411
1983 0 2.683
1983 1 2.909
1983 2 3.011
1983 3 2.824
1983 4 2.542
1983 5 2.24
1983 6 1.763
1983 7 1.178
1983 8 .497
1983 9 .038
1983 10 -.132
1983 11 -.188
1984 0 -.33
1984 1 -.533
1984 2 .143
1984 3 .347
1984 4 .131
1984 5 -.079
1984 6 -.084
1984 7 -.154
1984 8 -.106
1984 9 .001
1984 10 -.352
1984 11 -.603
1985 0 -.561
1985 1 -.594
1985 2 -.718
1985 3 -.481
1985 4 -.707
1985 5 -.133
1985 6 -.143
1985 7 -.367
1985 8 -.526
1985 9 -.139
1985 10 -.059
1985 11 -.293
1986 0 -.301
1986 1 -.196
1986 2 .04
1986 3 -.11
1986 4 .35
1986 5 .306
1986 6 .383
1986 7 .775
1986 8 1.088
1986 9 .979
1986 10 .873
1986 11 1.19
1987 0 1.25
1987 1 1.192
1987 2 1.719
1987 3 1.866
1987 4 2.14
1987 5 1.964
1987 6 1.859
1987 7 1.999
1987 8 1.894
1987 9 1.647
1987 10 1.271
1987 11 1.282
1988 0 1.119
1988 1 .697
1988 2 .487
1988 3 .353
1988 4 .119
1988 5 -.622
1988 6 -1.145
1988 7 -1.303
1988 8 -1.506
1988 9 -1.326
1988 10 -1.468
1988 11 -1.328
1989 0 -1.12
1989 1 -1.271
1989 2 -1.037
1989 3 -.795
1989 4 -.435
1989 5 -.253
1989 6 -.459
1989 7 -.497
1989 8 -.311
1989 9 -.341
1989 10 -.073
1989 11 .115
1990 0 .237
1990 1 .555
1990 2 .945
1990 3 .442
1990 4 .637
1990 5 .484
1990 6 .12
1990 7 .131
1990 8 .378
1990 9 .285
1990 10 .389
1990 11 .348
1991 0 .313
1991 1 .313
1991 2 .405
1991 3 .463
1991 4 .759
1991 5 1.1
1991 6 1.023
1991 7 1.024
1991 8 .76
1991 9 1.009
1991 10 1.189
1991 11 1.32
1992 0 1.743
1992 1 1.864
1992 2 1.993
1992 3 2.275
1992 4 2.129
1992 5 1.748
1992 6 1.018
1992 7 .57
1992 8 .497
1992 9 .641
1992 10 .582
1992 11 .648
1993 0 .687
1993 1 .979
1993 2 .99
1993 3 1.409
1993 4 1.998
1993 5 1.591
1993 6 1.17
1993 7 1.042
1993 8 .992
1993 9 1.069
1993 10 .834
1993 11 .589
1994 0 .353
1994 1 .197
1994 2 .174
1994 3 .465
1994 4 .573
1994 5 .788
1994 6 .88
1994 7 .773
1994 8 .908
1994 9 1.407
1994 10 1.299
1994 11 1.237
1995 0 1.22
1995 1 .961
1995 2 .879
1995 3 .466
1995 4 .563
1995 5 .508
1995 6 .207
1995 7 -.143
1995 8 -.426
1995 9 -.477
1995 10 -.478
1995 11 -.554
1996 0 -.612
1996 1 -.581
1996 2 -.227
1996 3 -.42
1996 4 -.127
1996 5 .068
1996 6 -.204
1996 7 -.374
1996 8 -.437
1996 9 -.349
1996 10 -.146
1996 11 -.336
1997 0 -.49
1997 1 -.595
1997 2 -.222
1997 3 .535
1997 4 1.165
1997 5 2.292
1997 6 2.805
1997 7 3.04
1997 8 3.044
1997 9 2.401
1997 10 2.542
1997 11 2.335
1998 0 2.466
1998 1 2.792
1998 2 2.768
1998 3 2.685
1998 4 2.212
1998 5 1.292
1998 6 .347
1998 7 -.331
1998 8 -.6
1998 9 -.798
1998 10 -1.086
1998 11 -.922
1999 0 -1.053
1999 1 -1.176
1999 2 -1.019
1999 3 -.982
1999 4 -.66
1999 5 -.361
1999 6 -.507
1999 7 -.745
1999 8 -.953
1999 9 -.973
1999 10 -1.05
1999 11 -1.161
2000 0 -1.139
2000 1 -1.207
2000 2 -1.112
2000 3 -.479
2000 4 .169
2000 5 -.053
2000 6 -.184
2000 7 -.145
2000 8 -.227
2000 9 -.387
2000 10 -.714
2000 11 -.566
2001 0 -.505
2001 1 -.669
2001 2 -.571
2001 3 -.091
2001 4 .233
2001 5 .006
2001 6 .27
2001 7 .338
2001 8 -.165
2001 9 -.275
2001 10 -.153
2001 11 .019
2002 0 .009
2002 1 -.176
2002 2 -.137
2002 3 .401
2002 4 .851
2002 5 .913
2002 6 .685
2002 7 1.017
2002 8 .908
2002 9 1
2002 10 1.09
2002 11 1.145
2003 0 1.218
2003 1 .937
2003 2 .831
2003 3 .365
2003 4 .111
2003 5 .097
2003 6 .144
2003 7 .316
2003 8 .477
2003 9 .516
2003 10 .57
2003 11 .351
2004 0 .327
2004 1 .356
2004 2 -.056
2004 3 .285
2004 4 .539
2004 5 .267
2004 6 .541
2004 7 .627
2004 8 .572
2004 9 .508
2004 10 .805
2004 11 .667
2005 0 .32
2005 1 .81
2005 2 1.055
2005 3 .642
2005 4 .836
2005 5 .585
2005 6 .49
2005 7 .352
2005 8 .315
2005 9 -.167
2005 10 -.392
2005 11 -.57
2006 0 -.438
2006 1 -.411
2006 2 -.533
2006 3 -.621
2006 4 .008
2006 5 .53
2006 6 .691
2006 7 .759
2006 8 .823
2006 9 .955
2006 10 1.286
2006 11 .951
2007 0 .985
2007 1 .542
2007 2 .112
2007 3 .015
2007 4 .247
2007 5 -.215
2007 6 -.288
2007 7 -.441
2007 8 -1.181
2007 9 -1.217
2007 10 -1.165
2007 11 -1.193
2008 0 -1.02
2008 1 -1.355
2008 2 -1.583
2008 3 -.874
2008 4 -.368
2008 5 .133
2008 6 .054
2008 7 -.266
2008 8 -.551
2008 9 -.692
2008 10 -.597
2008 11 -.663
2009 0 -.726
2009 1 -.677
2009 2 -.678
2009 3 -.109
2009 4 .361
2009 5 .819
2009 6 1.035
2009 7 1.067
2009 8 .735
2009 9 .909
2009 10 1.121
2009 11 1.045
2010 0 1.067
2010 1 1.521
2010 2 1.427
2010 3 .95
2010 4 .643
2010 5 -.325
2010 6 -1.156
2010 7 -1.683
2010 8 -1.868
2010 9 -1.899
2010 10 -1.49
2010 11 -1.577
2011 0 -1.739
2011 1 -1.53
2011 2 -1.511
2011 3 -1.392
2011 4 -.288
2011 5 -.075
2011 6 -.228
2011 7 -.519
2011 8 -.769
2011 9 -.933
2011 10 -.949
2011 11 -.957
2012 0 -.993
2012 1 -.665
2012 2 -.377
2012 3 .127
2012 4 .747
2012 5 .835
2012 6 1.098
2012 7 .619
2012 8 .339
2012 9 .081
2012 10 .125
2012 11 .094
2013 0 .096
2013 1 -.119
2013 2 -.128
2013 3 .069
2013 4 .146
2013 5 -.168
2013 6 -.355
2013 7 -.48
2013 8 -.133
2013 9 .13
2013 10 -.053
2013 11 -.248
2014 0 -.275
2014 1 -.241
2014 2 .032
2014 3 .248
2014 4 .976
2014 5 .98
2014 6 .882
2014 7 .954
2014 8 .585
2014 9 .438
2014 10 .763
2014 11 .558
2015 0 .42
2015 1 .468
2015 2 .67
2015 3 .97
2015 4 1.584
2015 5 2.045
2015 6 1.948
2015 7 2.366
2015 8 2.53
2015 9 2.241
2015 10 2.297
2015 11 2.112
2016 0 2.227
2016 1 2.121
2016 2 1.96
2016 3 2.07
2016 4 1.699
2016 5 1.001
2016 6 .312
2016 7 .175
2016 8 -.101
2016 9 -.379
2016 10 -.212
2016 11 -.121
2017 0 -.055
